"","2020-04-11","2020-04-13","2020-04-20","2020-04-21","2020-04-23","2020-04-25","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-04","2020-05-05","2020-05-06","county","population_2015","primary_city","zip"
"898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",3160,"Princeville",61559
"899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Putnam County",610,"Putnam",61560
"900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woodford County",2620,"Roanoke",61561
"901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",242,"Rome",61562
"902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",537,"Saint David",61563
"903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",1065,"South Pekin",61564
"904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marshall County",1390,"Sparland",61565
"905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mason County",520,"Topeka",61567
"906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",4390,"Tremont",61568
"907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",1140,"Trivoli",61569
"908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woodford County",1700,"Washburn",61570
"909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",23380,"Washington",61571
"910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",920,"Yates City",61572
"911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",439,"Peoria",61601
"912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",570,"Peoria",61602
"913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",3810,"Peoria",61606
"914",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",10170,"Peoria",61607
"915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",4590,"Creve Coeur",61610
"916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",582,"Peoria",61612
"917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",19,"Peoria",61613
"918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",5310,"Peoria Heights",61616
"919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",18,"Peoria",61625
"920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",611,"Peoria",61629
"921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",27,"Peoria",61630
"922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",0,"Peoria",61633
"923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",0,"Peoria",61634
"924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",0,"East Peoria",61635
"925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",0,"Peoria",61636
"926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",0,"Peoria",61637
"927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",0,"Peoria",61638
"928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",0,"Peoria",61639
"929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",0,"Peoria",61641
"930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",0,"Peoria",61643
"931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",88,"Peoria",61650
"932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",64,"Peoria",61651
"933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",98,"Peoria",61652
"934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",78,"Peoria",61653
"935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",25,"Peoria",61654
"936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",25,"Peoria",61655
"937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",207,"Peoria",61656
"938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mclean County",937,"Bloomington",61702
"939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mclean County",0,"Bloomington",61709
"940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mclean County",35,"Bloomington",61710
"941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",240,"Anchor",61720
"942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",550,"Armington",61721
"943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",510,"Arrowsmith",61722
"944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Logan County",2270,"Atlanta",61723
"945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",440,"Bellflower",61724
"946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",1610,"Carlock",61725
"947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",2400,"Chenoa",61726
"948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"De Witt County",8810,"Clinton",61727
"949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",1250,"Colfax",61728
